場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
東京,ダート,1600,左,雨,稍重,1,4,8,トーセンサウダージ,牡,3,56,大野拓弥,1:37.4,,6-6,36.4,4.8,2,494,-2
東京,ダート,1600,左,雨,稍重,2,6,12,コレクテイニア,牡,3,56,吉田豊,1:37.4,ハナ,9-9,35.9,7.0,4,474,0
東京,ダート,1600,左,雨,稍重,3,8,15,フォードテソーロ,牡,3,56,戸崎圭太,1:37.4,クビ,1-1,36.9,2.5,1,472,+4
東京,ダート,1600,左,雨,稍重,4,2,4,ミスティックパワー,牡,3,56,横山武史,1:37.8,2.1/2,10-10,36.1,20.1,8,494,-6
東京,ダート,1600,左,雨,稍重,5,2,3,ベルウッドシキシマ,牡,3,56,内田博幸,1:37.9,クビ,3-2,37.1,10.4,6,428,-4
東京,ダート,1600,左,雨,稍重,6,5,9,ロンギングタイム,牡,3,56,横山和生,1:38.1,1,5-5,37.2,8.4,5,460,-12
東京,ダート,1600,左,雨,稍重,7,7,14,ピンポイントドロー,牡,3,56,丸田恭介,1:38.2,3/4,8-8,36.9,91.9,10,482,+2
東京,ダート,1600,左,雨,稍重,8,3,5,ランドオブサンド,牡,3,56,ルメール,1:38.3,1/2,13-13,36.0,7.0,3,492,0
東京,ダート,1600,左,雨,稍重,9,6,11,ラッキーコイン,牡,3,56,松岡正海,1:38.3,アタマ,6-6,37.3,13.6,7,488,+2
東京,ダート,1600,左,雨,稍重,10,7,13,ニシノスイセイ,牡,3,56,杉原誠人,1:39.0,4,3-2,38.2,264.1,11,460,+2
東京,ダート,1600,左,雨,稍重,11,8,16,ファートム,牡,3,56,丹内祐次,1:39.1,1/2,11-11,37.1,397.2,14,474,-2
東京,ダート,1600,左,雨,稍重,12,1,1,エフティゲイル,牡,3,56,木幡初也,1:39.3,1.1/4,11-12,37.1,583.5,15,534,-6
東京,ダート,1600,左,雨,稍重,13,5,10,トーアタンガロア,牡,3,56,木幡巧也,1:39.5,3/4,14-14,36.8,294.9,12,470,-4
東京,ダート,1600,左,雨,稍重,14,3,6,ダノンボンド,牡,3,56,浜中俊,1:39.8,2,2-2,39.1,87.6,9,426,-12
東京,ダート,1600,左,雨,稍重,15,1,2,リアルブリージー,牡,3,56,北村宏司,1:40.5,4,14-14,37.9,744.2,16,456,-2
東京,ダート,1600,左,雨,稍重,16,4,7,パーティーキング,牡,3,53,小林勝太,1:41.1,3.1/2,16-16,37.7,303.8,13,462,-4
