場名,種別,距離,回り,天候,馬場,着順,枠番,馬番,馬名,性別,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,増減
中京,ダート,1900,左,晴,重,1,3,3,テイエムシニスター,牡,3,56,富田暁,2:00.3,,2-2-2-2,38.8,13.1,6,480,-6
中京,ダート,1900,左,晴,重,2,1,1,ゴールデンベッセル,牡,3,56,鮫島克駿,2:00.6,1.3/4,1-1-1-1,39.2,23.5,8,524,+10
中京,ダート,1900,左,晴,重,3,5,6,エスケイカイザー,牡,3,56,太宰啓介,2:00.6,クビ,10-10-7-5,38.5,3.7,2,498,+2
中京,ダート,1900,左,晴,重,4,6,8,ショウサンキズナ,牡,3,53,角田大河,2:00.7,1/2,10-11-7-7,38.6,9.8,4,518,+2
中京,ダート,1900,左,晴,重,5,4,4,サハラ,牡,3,56,岩田望来,2:01.0,2,4-4-4-4,39.3,2.2,1,486,-2
中京,ダート,1900,左,晴,重,6,7,9,マイネルシュラーク,牡,3,56,幸英明,2:01.1,1/2,3-3-2-3,39.6,16.9,7,478,+4
中京,ダート,1900,左,晴,重,7,5,5,リアルグローリー,牡,3,53,服部寿希,2:02.7,10,8-8-10-9,40.1,241.0,11,442,-4
中京,ダート,1900,左,晴,重,8,8,12,チェリーオントップ,牝,3,51,鷲頭虎太,2:02.8,3/4,8-8-11-11,40.0,38.0,9,444,+4
中京,ダート,1900,左,晴,重,9,7,10,ギルトレターズ,牡,3,56,和田竜二,2:03.3,3,4-4-4-5,41.5,10.0,5,480,+16
中京,ダート,1900,左,晴,重,10,6,7,キタノダロマ,牡,3,56,高倉稜,2:04.0,4,12-12-12-12,40.7,141.5,10,452,-6
中京,ダート,1900,左,晴,重,11,8,11,プラウサス,牡,3,56,水口優也,2:05.0,6,6-6-9-9,42.6,323.8,12,474,0
中京,ダート,1900,左,晴,重,12,2,2,グローレジェンド,牡,3,56,坂井瑠星,2:07.7,大,7-7-6-7,45.8,8.7,3,522,0
